[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 0_0 (0_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_0 (0_0.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_1 (0_1.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 1_0 (1_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 1_1 (1_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_0 (0_0.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_1 (0_1.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_10 (0_10.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_11 (0_11.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_12 (0_12.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_13 (0_13.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_14 (0_14.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_15 (0_15.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_16 (0_16.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_17 (0_17.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_18 (0_18.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_19 (0_19.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_2 (0_2.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_20 (0_20.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_21 (0_21.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_22 (0_22.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_23 (0_23.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_24 (0_24.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_25 (0_25.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_26 (0_26.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_27 (0_27.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_28 (0_28.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_29 (0_29.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_3 (0_3.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_30 (0_30.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_31 (0_31.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_32 (0_32.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_33 (0_33.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_34 (0_34.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_35 (0_35.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_36 (0_36.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 0_37 (0_37.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_38 (0_38.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_39 (0_39.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_4 (0_4.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_40 (0_40.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_41 (0_41.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_42 (0_42.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_43 (0_43.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_44 (0_44.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_45 (0_45.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_46 (0_46.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_47 (0_47.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_48 (0_48.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_49 (0_49.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_5 (0_5.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_50 (0_50.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_51 (0_51.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_52 (0_52.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_53 (0_53.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_54 (0_54.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_6 (0_6.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_7 (0_7.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_8 (0_8.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 0_9 (0_9.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 1_0 (1_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 1_1 (1_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_10 (1_10.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_11 (1_11.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_12 (1_12.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_13 (1_13.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_14 (1_14.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_15 (1_15.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_16 (1_16.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_17 (1_17.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_18 (1_18.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_19 (1_19.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_2 (1_2.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_20 (1_20.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_21 (1_21.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_22 (1_22.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_23 (1_23.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_24 (1_24.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_25 (1_25.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_26 (1_26.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_27 (1_27.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_28 (1_28.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_29 (1_29.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_3 (1_3.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_30 (1_30.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_31 (1_31.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_32 (1_32.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_33 (1_33.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_34 (1_34.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_35 (1_35.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_36 (1_36.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_37 (1_37.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_38 (1_38.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_39 (1_39.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_4 (1_4.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_40 (1_40.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_41 (1_41.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_42 (1_42.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_43 (1_43.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_44 (1_44.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
